,Total_Importance,Xx,Yy,Size,Segment
197,1.347401761140089,118,50,2.6231954097747803,144
198,2.029993118881018,174,50,5.420073509216309,195
199,2.151091066667046,178,50,2.5283467769622803,195
200,2.008922409948222,166,51,2.5232675075531006,195
201,1.1579239171312592,157,51,3.024155855178833,181
202,1.1610033077258295,295,51,1.9536994695663452,323
203,1.186808224401452,295,51,1.9536994695663452,323
204,1.1532483812215553,295,51,1.9536994695663452,323
205,0.5936913922524419,194,52,1.814620018005371,211
206,1.4506612149444629,245,52,4.821102619171143,282
207,1.2408304416328537,245,52,4.821102619171143,282
208,1.1800139474646623,106,52,2.058244228363037,123
209,1.214228233015231,106,52,2.058244228363037,123
210,0.5389014886266571,92,53,1.9392770528793335,104
211,1.198519567053273,178,53,1.8128225803375244,195
212,1.7747262445110057,73,53,2.6620705127716064,74
213,1.9080029105297782,162,53,2.058649778366089,170
214,1.095895805161427,236,54,1.9704049825668335,259
215,1.0811100421295587,236,54,1.9704049825668335,259
216,1.1084699829523676,236,54,1.9704049825668335,259
217,1.343716013978105,113,54,1.8950262069702148,144
218,2.268365464245659,116,54,2.528881788253784,123
219,1.294545524373197,195,54,1.9398136138916016,234
220,2.070725001349453,188,55,5.439265727996826,201
221,2.094984650806474,188,55,5.439265727996826,201
222,1.825631852081285,158,55,2.440013885498047,170
223,1.041978662915005,260,56,1.8672860860824585,282
224,1.2450504448293849,260,56,1.8672860860824585,282
225,1.2229296067297433,123,56,2.6595654487609863,144
226,1.8350298749123188,134,57,1.903255820274353,155
227,1.232400997891525,232,57,1.8447221517562866,259
228,1.887078860802416,196,58,2.330970525741577,221
229,1.9867188481304827,50,58,32.31753921508789,63
230,1.723897178298725,50,58,32.31753921508789,63
231,0.5937627258744193,201,58,6.410861968994141,221
232,1.5326049202452618,101,59,9.730596542358398,104
233,1.6184483310893447,101,59,9.730596542358398,104
234,1.9516449368839686,165,59,3.259326934814453,183
235,1.6068980664361,117,59,1.8926759958267212,144
236,1.8558190964493715,153,59,2.3080954551696777,170
237,0.6422629035263876,190,60,1.8983620405197144,201
238,1.2928319171921558,143,60,1.9241135120391846,156
239,1.2644808813560755,156,61,2.4364097118377686,156
240,1.700424518446829,101,61,2.3543269634246826,104
241,2.0299989856276657,186,62,4.693108558654785,201
242,1.1845739510140658,225,62,1.9987974166870117,234
243,1.389645561774756,249,63,2.6719422340393066,269
244,1.4981479011399264,111,63,2.042318105697632,120
245,1.5105389453287987,253,63,2.5455241203308105,269
246,0.7156886977849246,210,63,7.646220684051514,234
247,1.8885048219381755,187,63,2.1814401149749756,201
248,1.1350418482956561,166,64,2.1663260459899902,183
249,0.7144635745699934,220,64,2.6282711029052734,242
250,0.6353220785607074,146,64,7.308644771575928,156
251,1.7099221160528284,86,64,6.4380059242248535,104
252,0.6058572324687639,157,65,2.91695499420166,183
253,1.2036734136582399,177,67,2.295448064804077,192
254,1.4680533904073134,94,68,1.8997458219528198,107
255,1.2878697463723114,198,69,3.100839376449585,221
256,0.6498971837193723,219,70,8.44652271270752,242
257,2.0555756820306326,125,70,1.809696078300476,135
258,0.6506584534547671,77,71,3.4584786891937256,74
259,0.6801272631021328,195,71,1.8903112411499023,207
260,1.1691965673127875,129,72,2.375271797180176,156
261,1.1973444395889887,186,72,3.8177223205566406,201
262,1.3246428345625558,88,73,1.9360042810440063,107
263,1.0781700831293954,88,73,1.9360042810440063,107
264,1.2852491927951004,101,73,1.8444931507110596,107
265,1.544835578837294,91,74,2.0534145832061768,83
266,0.6224942250959692,2,75,1.8841387033462524,5
267,1.5869639048506958,83,77,1.9742605686187744,83
268,0.5775433279200243,20,78,3.3748958110809326,25
269,2.1994728655404527,121,78,2.068619728088379,135
270,1.16207861626387,84,79,1.8199882507324219,83
